Country,has_independence_day,Independence day date,has_national_day,National day date
Luxembourg,FALSE,,TRUE,23.Jun
Madagascar,TRUE,26.Jun,TRUE,26.Jun
Malawi,TRUE,06.Jul,TRUE,06.Jul
Malaysia,TRUE,31 August / 16 September,TRUE,31 August / 16 September
Maldives,TRUE,"1st of Rabi' al-Awwal, 3rd month of Islamic calendar / 26 July",TRUE,1 Rabi' al-Awwal
Mali,TRUE,22.Sep,TRUE,22.Sep
Malta,TRUE,21.Sep,TRUE,31 March / 7 June / 8 September / 21 September / 13 December
Marshall Islands,TRUE,01.May,TRUE,01.May
Mauritania,TRUE,28.Nov,TRUE,28.Nov
Mauritius,TRUE,12.Mar,TRUE,12.Mar
Mexico,TRUE,16.Sep,TRUE,16.Sep
Micronesia,TRUE,03.Nov,TRUE,03.Nov
Moldova,TRUE,27.Aug,TRUE,27.Aug
Monaco,FALSE,,TRUE,19.Nov
Mongolia,TRUE,29.Dec,TRUE,26 November / 29 December
Montenegro,TRUE,21.May,TRUE,21 May / 13 July
Morocco,TRUE,11 January / 18 November,TRUE,18.Nov
Mozambique,TRUE,25.Jun,TRUE,25.Jun
Myanmar,TRUE,04.Jan,TRUE,10th day of Tazaungmon
Namibia,TRUE,21.Mar,TRUE,21.Mar
Nauru,TRUE,31.Jan,TRUE,31.Jan
Nepal,FALSE,,TRUE,19.Sep
New Zealand,FALSE,,TRUE,06.Feb
Nicaragua,TRUE,15.Sep,TRUE,15.Sep
Niger,TRUE,03.Aug,TRUE,18.Dec
Nigeria,TRUE,01.Oct,TRUE,01.Oct
Niue,FALSE,,TRUE,19.Oct
North Korea,TRUE,15.Aug,TRUE,15 August / 9 September / 10 October
North Macedonia,TRUE,2 August / 8 September,TRUE,2 August / 8 September
Norway,TRUE,17 May / 7 June,TRUE,17.May
Oman,FALSE,,TRUE,20.Nov
Pakistan,TRUE,14.Aug,TRUE,23 March / 14 August
Palau,TRUE,01.Oct,TRUE,9 July / 1 October
Palestine,TRUE,1 October / 15 November,TRUE,15.Nov
Panama,TRUE,28 November / 3 November,TRUE,3 November / 28 November
Papua New Guinea,TRUE,16.Sep,TRUE,16.Sep
Paraguay,TRUE,14 and 15 May,TRUE,14.May
Peru,TRUE,28.Jul,TRUE,28.Jul
Philippines,TRUE,12 June / 4 July,TRUE,12.Jun
Poland,TRUE,11.Nov,TRUE,3 May / 11 November
Portugal,TRUE,01.Dec,TRUE,10.Jun
Qatar,TRUE,18.Dec,TRUE,18.Dec
Republic of the Congo,TRUE,28 November / 15 August,TRUE,15.Aug
Romania,TRUE,10 May / 1 December,TRUE,01.Dec
Russia,FALSE,,TRUE,12 June / 4 November
Rwanda,TRUE,01.Jul,TRUE,01.Jul
Saint Kitts and Nevis,TRUE,19.Sep,TRUE,19.Sep
Saint Lucia,TRUE,22.Feb,TRUE,22.Feb
Saint Vincent and the Grenadines,TRUE,27.Oct,TRUE,27.Oct
Samoa,TRUE,01.Jun,TRUE,01.Jun
San Marino,FALSE,,TRUE,03.Sep
Saudi Arabia,FALSE,,TRUE,23.Sep
Senegal,TRUE,04.Apr,TRUE,04.Apr
Serbia,TRUE,15.Feb,TRUE,15.Feb
Seychelles,TRUE,29.Jun,TRUE,18 June / 29 June
Sierra Leone,TRUE,27.Apr,TRUE,27.Apr
Singapore,TRUE,09.Aug,TRUE,09.Aug
Slovakia,TRUE,28 October / 17 July / 1 January,TRUE,29.Aug
Slovenia,TRUE,25 June / 26 December,TRUE,25.Jun
Solomon Islands,TRUE,07.Jul,TRUE,07.Jul
Somalia,TRUE,26 June / 1 July,TRUE,01.Jul
South Africa,FALSE,,TRUE,27.Apr
South Korea,TRUE,1 March / 15 August,TRUE,1 March / 15 August / 3 October
South Sudan,TRUE,09.Jul,TRUE,09.Jul
South Vietnam,FALSE,,TRUE,26 October / 1 November
Soviet Union,FALSE,,TRUE,07.Nov
Spain,FALSE,,TRUE,12.Oct
Sri Lanka,TRUE,04.Feb,TRUE,04.Feb
Sudan,TRUE,01.Jan,TRUE,01.Jan
Suriname,TRUE,25.Nov,TRUE,25.Nov
Sweden,TRUE,06.Jun,TRUE,06.Jun
Switzerland,TRUE,01.Aug,TRUE,01.Aug
Syria,TRUE,17.Apr,TRUE,17.Apr
Sao Tome and Principe,TRUE,12.Jul,TRUE,12.Jul
Tajikistan,TRUE,09.Sep,TRUE,09.Sep
Tanzania,TRUE,09.Dec,TRUE,09.Dec
Thailand,FALSE,,TRUE,05.Dec
The Bahamas,TRUE,10.Jul,FALSE,
Timor-Leste,TRUE,28 November / 20 May,TRUE,20.May
Togo,TRUE,27 April / 13 January,TRUE,27.Apr
Tonga,TRUE,04.Jun,TRUE,4 June / 4 November
Transnistria,FALSE,,TRUE,02.Sep
Trinidad and Tobago,TRUE,31.Aug,TRUE,31.Aug
Tunisia,TRUE,20.Mar,TRUE,20.Mar
Turkey,FALSE,,TRUE,29.Oct
Turkmenistan,TRUE,27.Sep,TRUE,27.Sep
Tuvalu,TRUE,01.Oct,TRUE,01.Oct
Uganda,TRUE,09.Oct,TRUE,09.Oct
Ukraine,TRUE,24 August / 22 January,TRUE,15 July / 24 August
United Arab Emirates,TRUE,02.Dec,TRUE,02.Dec
United Kingdom,FALSE,,TRUE,3rd Saturday in June (unofficial)
United States,TRUE,04.Jul,TRUE,04.Jul
Uruguay,TRUE,25.Aug,TRUE,25.Aug
Uzbekistan,TRUE,01.Sep,TRUE,01.Sep
Vanuatu,TRUE,30.Jul,TRUE,30.Jul
Vatican City,TRUE,11.Feb,TRUE,11.Feb
Venezuela,TRUE,05.Jul,TRUE,05.Jul
Vietnam,TRUE,02.Sep,TRUE,02.Sep
Yemen,TRUE,30.Nov,TRUE,22.May
Yugoslavia,FALSE,,TRUE,29.Nov
Zambia,TRUE,24.Oct,TRUE,24.Oct
Zimbabwe,TRUE,18.Apr,TRUE,18.Apr
