Country,has_independence_day,Independence day date,has_national_day,National day date,ISO Code,Display Date
Maldives,TRUE,"1st of Rabi' al-Awwal, 3rd month of Islamic calendar / 26 July",TRUE,1 Rabi' al-Awwal,462,26.Jul
Mali,TRUE,22.Sep,TRUE,22.Sep,466,22.Sep
Malta,TRUE,21.Sep,TRUE,31 March / 7 June / 8 September / 21 September / 13 December,470,21.Sep
Marshall Islands,TRUE,01.May,TRUE,01.May,584,01.May
Mauritania,TRUE,28.Nov,TRUE,28.Nov,478,28.Nov
Mauritius,TRUE,12.Mar,TRUE,12.Mar,480,12.Mar
Mexico,TRUE,16.Sep,TRUE,16.Sep,484,16.Sep
Micronesia,TRUE,03.Nov,TRUE,03.Nov,583,03.Nov
Moldova,TRUE,27.Aug,TRUE,27.Aug,498,27.Aug
Monaco,FALSE,,TRUE,19.Nov,492,19.Nov
Mongolia,TRUE,29.Dec,TRUE,26 November / 29 December,496,29.Dec
Montenegro,TRUE,21.May,TRUE,21 May / 13 July,499,21.May
Morocco,TRUE,11 January / 18 November,TRUE,18.Nov,504,18.Nov
Mozambique,TRUE,25.Jun,TRUE,25.Jun,508,25.Jun
Myanmar,TRUE,04.Jan,TRUE,10th day of Tazaungmon,104,04.Jan
Namibia,TRUE,21.Mar,TRUE,21.Mar,516,21.Mar
Nauru,TRUE,31.Jan,TRUE,31.Jan,520,31.Jan
Nepal,FALSE,,TRUE,19.Sep,524,19.Sep
New Zealand,FALSE,,TRUE,06.Feb,554,06.Feb
Nicaragua,TRUE,15.Sep,TRUE,15.Sep,558,15.Sep
Niger,TRUE,03.Aug,TRUE,18.Dec,562,03.Aug
Nigeria,TRUE,01.Oct,TRUE,01.Oct,566,01.Oct
Niue,FALSE,,TRUE,19.Oct,570,19.Oct
North Korea,TRUE,15.Aug,TRUE,15 August / 9 September / 10 October,408,15.Aug
North Macedonia,TRUE,2 August / 8 September,TRUE,2 August / 8 September,807,02.Aug
Norway,TRUE,17 May / 7 June,TRUE,17.May,578,17.May
Oman,FALSE,,TRUE,20.Nov,512,20.Nov
Pakistan,TRUE,14.Aug,TRUE,23 March / 14 August,586,14.Aug
Palau,TRUE,01.Oct,TRUE,9 July / 1 October,585,01.Oct
Palestine,TRUE,1 October / 15 November,TRUE,15.Nov,275,15.Nov
Panama,TRUE,28 November / 3 November,TRUE,3 November / 28 November,591,03.Nov
Papua New Guinea,TRUE,16.Sep,TRUE,16.Sep,598,16.Sep
Paraguay,TRUE,14 and 15 May,TRUE,14.May,600,14.May
Peru,TRUE,28.Jul,TRUE,28.Jul,604,28.Jul
Philippines,TRUE,12 June / 4 July,TRUE,12.Jun,608,12.Jun
Poland,TRUE,11.Nov,TRUE,3 May / 11 November,616,11.Nov
Portugal,TRUE,01.Dec,TRUE,10.Jun,620,01.Dec
Qatar,TRUE,18.Dec,TRUE,18.Dec,634,18.Dec
Republic of the Congo,TRUE,28 November / 15 August,TRUE,15.Aug,178,15.Aug
Romania,TRUE,10 May / 1 December,TRUE,01.Dec,642,01.Dec
Russia,FALSE,,TRUE,12 June / 4 November,643,12.Jun
Rwanda,TRUE,01.Jul,TRUE,01.Jul,646,01.Jul
Saint Kitts and Nevis,TRUE,19.Sep,TRUE,19.Sep,659,19.Sep
Saint Lucia,TRUE,22.Feb,TRUE,22.Feb,662,22.Feb
Saint Vincent and the Grenadines,TRUE,27.Oct,TRUE,27.Oct,670,27.Oct
Samoa,TRUE,01.Jun,TRUE,01.Jun,882,01.Jun
San Marino,FALSE,,TRUE,03.Sep,674,03.Sep
Saudi Arabia,FALSE,,TRUE,23.Sep,682,23.Sep
Senegal,TRUE,04.Apr,TRUE,04.Apr,686,04.Apr
Serbia,TRUE,15.Feb,TRUE,15.Feb,688,15.Feb
Seychelles,TRUE,29.Jun,TRUE,18 June / 29 June,690,29.Jun
Sierra Leone,TRUE,27.Apr,TRUE,27.Apr,694,27.Apr
Singapore,TRUE,09.Aug,TRUE,09.Aug,702,09.Aug
Slovakia,TRUE,28 October / 17 July / 1 January,TRUE,29.Aug,703,01.Jan
Slovenia,TRUE,25 June / 26 December,TRUE,25.Jun,705,25.Jun
Solomon Islands,TRUE,07.Jul,TRUE,07.Jul,090,07.Jul
Somalia,TRUE,26 June / 1 July,TRUE,01.Jul,706,01.Jul
South Africa,FALSE,,TRUE,27.Apr,710,27.Apr
South Korea,TRUE,1 March / 15 August,TRUE,1 March / 15 August / 3 October,410,01.Mar
South Sudan,TRUE,09.Jul,TRUE,09.Jul,728,09.Jul
Spain,FALSE,,TRUE,12.Oct,724,12.Oct
Sri Lanka,TRUE,04.Feb,TRUE,04.Feb,144,04.Feb
Sudan,TRUE,01.Jan,TRUE,01.Jan,729,01.Jan
Serbia,TRUE,15.Feb,TRUE,15.Feb,688,15.Feb
Suriname,TRUE,25.Nov,TRUE,25.Nov,740,25.Nov
Sweden,TRUE,06.Jun,TRUE,06.Jun,752,06.Jun
Switzerland,TRUE,01.Aug,TRUE,01.Aug,756,01.Aug
Syria,TRUE,17.Apr,TRUE,17.Apr,760,17.Apr
Sao Tome and Principe,TRUE,12.Jul,TRUE,12.Jul,678,12.Jul
Taiwan,FALSE,,TRUE,10.Oct,158,10.Oct
Tajikistan,TRUE,09.Sep,TRUE,09.Sep,762,09.Sep
Tanzania,TRUE,09.Dec,TRUE,09.Dec,834,09.Dec
Thailand,FALSE,,TRUE,05.Dec,764,05.Dec
The Bahamas,TRUE,10.Jul,FALSE,,044,10.Jul
Timor-Leste,TRUE,28 November / 20 May,TRUE,20.May,626,20.May
Togo,TRUE,27 April / 13 January,TRUE,27.Apr,768,27.Apr
Tonga,TRUE,04.Jun,TRUE,4 June / 4 November,776,04.Jun
Trinidad and Tobago,TRUE,31.Aug,TRUE,31.Aug,780,31.Aug
Tunisia,TRUE,20.Mar,TRUE,20.Mar,788,20.Mar
Turkey,FALSE,,TRUE,29.Oct,792,29.Oct
Turkmenistan,TRUE,27.Sep,TRUE,27.Sep,795,27.Sep
Tuvalu,TRUE,01.Oct,TRUE,01.Oct,798,01.Oct
Uganda,TRUE,09.Oct,TRUE,09.Oct,800,09.Oct
Ukraine,TRUE,24 August / 22 January,TRUE,15 July / 24 August,804,24.Aug
United Arab Emirates,TRUE,02.Dec,TRUE,02.Dec,784,02.Dec
United States,TRUE,04.Jul,TRUE,04.Jul,840,04.Jul
Uruguay,TRUE,25.Aug,TRUE,25.Aug,858,25.Aug
Uzbekistan,TRUE,01.Sep,TRUE,01.Sep,860,01.Sep
Vanuatu,TRUE,30.Jul,TRUE,30.Jul,548,30.Jul
Vatican City,TRUE,11.Feb,TRUE,11.Feb,336,11.Feb
Venezuela,TRUE,05.Jul,TRUE,05.Jul,862,05.Jul
Vietnam,TRUE,02.Sep,TRUE,02.Sep,704,02.Sep
Yemen,TRUE,30.Nov,TRUE,22.May,887,30.Nov
Zambia,TRUE,24.Oct,TRUE,24.Oct,894,24.Oct
Zimbabwe,TRUE,18.Apr,TRUE,18.Apr,716,18.Apr
